,VA_CATEGORY,VA_LABEL,DEFINITION,Unnamed: 3,Unnamed: 4,Unnamed: 5,ANNOTATION_TW,ANNOTATION_AP
2,va:0003f,CARRY_TRANSPORT,An agent CARRIES-TRANSPORTS a theme to a destination from a source using an instrument in favour of a beneficiary (+attribute),bn:00084554v,"Move while supporting, either in a vehicle or in one's hands or on one's body","Carry, transport.",N,B
5,va:0008f,CO-OPT,An agent CO OPTS a patient to achieve a goal,bn:00085214v,Choose or elect as a fellow member or colleague,"Co-opt, proselytize, assimilate.",N,B
9,va:0012f,RETAIN_KEEP_SAVE-MONEY,A cause makes an agent RETAINS-KEEPS-SAVES from a source to a destination a theme in favour of a beneficiary for a purpose in a location (+attribute),bn:00092928v,Hold back within,"Keep, save (money).",B,N
11,va:0015f,ACHIEVE,An agent ACHIEVES a goal,bn:00082226v,To gain with effort,"Achieve, gain with effort.",B,N
14,va:0018f,INCITE_INDUCE,An agent INCITES-INDUCES a patient using an instrument to do a result (+attribute),bn:00082313v,Give an incentive for action,"Spur, provoke, induce.",B,N
15,va:0021f,SUBJECTIVE-JUDGING,A cause makes an agent JUDGE a theme as a value,bn:00087763v,Form a critical opinion of,"Judge, grade.",B,N
17,va:0024f,PROVE,An agent PROVES a theme to a recipient using an instrument (+attribute),bn:00086567v,"Establish the validity of something, as by an example, explanation or experiment","Prove, demonstrate, evidence.",B,N
19,va:0029f,STOP,An agent STOPS a theme or a topic in a location for an extent or from a source to a goal using an instrument (+attribute),bn:00089154v,"Come to a halt, stop moving","Stop, block, halt.",A ,A
35,va:0052f,HARMONIZE,An agent HARMONIZES a theme with a goal for a purpose,bn:00089218v,Bring (several things) into consonance or relate harmoniously,"Harmonize, readapt, concord.",A,B
36,va:0053f,DISAPPEAR,An agent makes a patient DISAPPEAR from a location for an extent to a destination-state,bn:00086880v,Become invisible or unnoticeable,"Disappear, vanish.",A,N
39,va:0057f,RESERVE,An agent reserve a THEME for a beneficiary (+attribute),bn:00083774v,Arrange for and reserve (something for someone else) in advance,"Reserve, hold, book up.",B,N
51,va:0071f,LURE_ENTICE,An agent LURES-ENTICES an experiencer with an instrument from a source to achieve a goal,bn:00087689v,Provoke someone to do something through (often false or exaggerated) promises or persuasion,"Tempt, entice, lure.",A,N
63,va:0089f,GROW_PLOW,An agent GROWS-PLOWS a patient with an instrument on a location,bn:00089085v,Cause to grow or develop,"Grow, fructify, crop.",B,N
64,va:0091f,ADJUST_CORRECT,An agent ADJUSTS-CORRECTS a patient with an instrument from a source-state to a goal-state for a purpose producing a product,bn:00082357v,Alter or regulate so as to achieve accuracy or conform to a standard,"Adjust, correct.",B,N
66,va:0093f,UNDERSTAND,An experiencer UNDERSTANDS a stimulus (+attribute),bn:00095375v,Know and comprehend the nature or meaning of,"Understand, realize.",B,N
72,va:0103f,RESULT_CONSEQUENCE,An agent with a co-agent makes a theme RESULT-HAVE AS CONSEQUENCE a goal using an instrument,bn:00092913v,Come about or follow as a consequence,Have a result or a consequence.,N,B
74,va:0105f,COME-FROM,An agent COMES FROM a source,bn:00091204v,Originate,"Come from, issue forth, originate in.",N,B
76,va:0112f,COME-AFTER_FOLLOW-IN-TIME,An agent makes a theme COME AFTER-FOLLOW IN TIME a co-theme (+attribute),bn:00088422v,Be later in time,"Come after, follow (in time).",N,B
80,va:0121f,COMMUNE,An agent gives COMMUNION to a theme (+attribute),bn:00093253v,"Give religious sanction to, such as through on oath","Administer Communion, bless.",B,N
83,va:0125f,LEAD_GOVERN,An agent LEADS-GOVERNS a theme with an instrument for a beneficiary (+attribute),bn:00089260v,Be in charge of,"Lead, direct, chair.",N,B
85,va:0128f,PRESERVE,An agent PRESERVES a patient against a theme,bn:00083242v,Keep or maintain in unaltered condition; cause to remain or last,"Preserve, conserve.",B,N
93,va:0138f,CONTRACT-AN-ILLNESS_INFECT,An agent makes a patient CONTRACT-BE INFECTED BY a theme from a source,bn:00085727v,"Be stricken by an illness, fall victim to an illness","Contract an illness, infect.",A,N
95,va:0140f,CRY,An agent CRIES a theme regarding a topic to a recipient,bn:00086122v,"Shed tears because of sadness, rage, or pain","Cry, wail, weep.",A,N
96,va:0141f,KNOCK-DOWN,An agent KNOCKS DOWN a patient with an instrument for an extent from a source to a destination,bn:00086221v,Cause to come or go down,"Knock down, cut down, pull down.",N,A
107,va:0155f,WASH_CLEAN,An agent WASHES-CLEANS a patient of a theme using an instrument having a result,bn:00085059v,Make clean by removing dirt filth or unwanted substances from,"Wash, clean, rinse.",B,N
109,va:0157f,AMELIORATE,An agent AMELIORATES a patient of an extent using an instrument with a result starting from a material,bn:00082573v,To make better,"Refine, make better.",B,A
110,va:0159f,CELEBRATE_PARTY,An agent CELEBRATES-PARTIES a theme (+attribute),bn:00084715v,Have a celebration,"Commemorate, celebrate.",B,N
116,va:0170f,FIT,An agent makes a value FIT in a location,bn:00088240v,Be the right size or shape; fit correctly or as desired,"Fit, suit, accommodate.",B,N
132,va:0200f,HAVE-SEX,A cause makes an agent HAVE SEX with a co-agent (+theme),bn:00083081v,Have sexual intercourse with,"Have sex, make out.",N,B
138,va:0207f,STABILIZE_SUPPORT-PHYSICALLY,An agent STABILIZES-SUPPORTS PHYSICALLY a patient on a location using an instrument,bn:00083855v,Support or hold steady and make steadfast with or as if with a brace,"Stabilize physically, hold, brace.",N,B
143,va:0219f,RAISE,An agent RAISES a theme of an extent on a location from a source to a destination,bn:00084110v,Raise from a lower to a higher position,"Lift, ascend, raise.",N,B
146,va:0227f,PROPOSE,An agent PROPOSES a topic to a recipient to achieve a goal (+attribute),bn:00082417v,Make a proposal declare a plan for something,"Propose, suggest, submit.",B,N
160,va:0245f,TAKE-SHELTER,An agent makes a theme TAKE SHELTER in a location (+attribute),bn:00093607v,Provide shelter for,Take shelter.,B,N
170,va:0264f,ACCOMPANY,An agent ACCOMPANIES a theme from a source to a destination (+attribute),bn:00082222v,Go or travel along with,"Accompany, escort, go with.",N,B
171,va:0266f,COMPENSATE,An agent COMPENSATE a theme with a co-theme,bn:00083045v,Bring into balance or equilibrium,"Compensate, equilibrate, balance.",N,B
177,va:0279f,EARN,A theme EARNS an asset from a source in favour of a beneficiary,bn:00084089v,Earn on some commercial or business transaction; earn as salary or wages,Earn.,B,N
186,va:0294f,FAKE,An agent FAKES a theme,bn:00085786v,Tamper with the purpose of deception,"Fake, manipulate, rig.",A,N
187,va:0297f,CHASE,An agent CHASES a theme to a destination using an instrument,bn:00084831v,Go after with the intent to catch,"Chase, chase after, tail.",N,A
188,va:0298f,HIRE,An agent HIRES a theme from a source (+attribute),bn:00087576v,Engage or hire for work,"Hire, enlist, recruit.",N,B
193,va:0307f,ISOLATE,An agent ISOLATES a patient in favour of a beneficiary,bn:00089800v,Place or set apart,"Isolate, cloister.",N,A
201,va:0318f,WARN,An agent WARNS a recipient of a topic,bn:00095642v,"Notify of danger, potential harm, or risk","Warn, admonish.",N,B
203,va:0321f,GROUP,An agent GROUPS a theme from a source in a result using an instrument,bn:00082465v,Form a group or group together,"Crowd, group, assemble.",N,B
234,va:0362f,BEFRIEND,An agent BEFRIENDS a co-agent,bn:00083329v,Become friends with,"Befriend, bond, relate.",B,A
239,va:0372f,DEBASE_ADULTERATE,An agent DEBASES-ADULTERATES a patient for an extent using an instrument from a source to achieve a goal,bn:00082391v,"Corrupt, debase, or make impure by adding a foreign or inferior substance; often by replacing valuable ingredients with inferior ones","Devalue, debase.",A,N
240,va:0373f,FACE_CHALLENGE,A cause makes an agent FACE-CHALLENGE a theme with a goal using an instrument (+attribute),bn:00085595v,Oppose as in hostility or a competition,"Face, confront, take on.",A,N
243,va:0382f,CREATE_MATERIALIZE,An agent CREATES-MATERIALIZES a result with a co-agent using a material achieving a product for a beneficiary (+attribute),bn:00086010v,Pursue a creative activity; be engaged in a creative activity,"Create, design, compose.",B,N
