VA_CATEGORY,VA_LABEL,ANNOTATION
va:0001f,TOLERATE,B
va:0002f,OBEY,B
va:0003f,CARRY_TRANSPORT,B
va:0004f,ABSORB,N
va:0005f,LEARN,N
va:0008f,CO-OPT,B
va:0009f,SPEAK,N
va:0010f,TAKE,N
va:0011f,AUTHORIZE_ADMIT,B
va:0012f,RETAIN_KEEP_SAVE-MONEY,N
va:0014f,PERFORM,N
va:0015f,ACHIEVE,B
va:0016f,CHANGE_SWITCH,N
va:0017f,BEHAVE,N
va:0018f,INCITE_INDUCE,B
va:0021f,SUBJECTIVE-JUDGING,N
va:0022f,FOLLOW_SUPPORT_SPONSOR_FUND,B
va:0024f,PROVE,B
va:0025f,AGREE_ACCEPT,B
va:0029f,STOP,A
va:0030f,MOVE-ONESELF,N
va:0032f,REQUIRE_NEED_WANT_HOPE,B
va:0033f,FIND,N
va:0034f,FLOW,N
va:0035f,REPRIMAND,A
va:0038f,GIVE-BIRTH,B
va:0039f,CONTAIN,N
va:0040f,POSSESS,N
va:0044f,EXHAUST,A
va:0045f,BELIEVE,B
va:0046f,BEGIN,N
va:0048f,DRINK,N
va:0049f,RELY,B
va:0050f,OBLIGE_FORCE,A
va:0051f,EAT_BITE,N
va:0052f,HARMONIZE,B
va:0053f,DISAPPEAR,A
va:0054f,JUMP,N
va:0056f,ROLL,N
va:0057f,RESERVE,N
va:0058f,BREAK_DETERIORATE,A
va:0059f,EMIT,N
va:0060f,BRING,N
va:0061f,BULGE-OUT,N
va:0062f,KILL,A
va:0064f,CALCULATE_ESTIMATE,N
va:0065f,NAME,N
va:0066f,COMMUNICATE_CONTACT,N
va:0067f,SUMMON,N
va:0068f,VISIT,N
va:0069f,READ,N
va:0071f,LURE_ENTICE,A
va:0072f,ORDER,N
va:0074f,CONSIDER,N
va:0076f,REMEMBER,N
va:0077f,RECALL,N
va:0078f,DISMISS_FIRE-SMN,A
va:0079f,CATCH,N
va:0080f,IMPLY,N
va:0081f,WIN,B
va:0082f,INCLUDE-AS,N
va:0083f,SEND,N
va:0086f,PERSUADE,N
va:0089f,GROW_PLOW,B
va:0091f,ADJUST_CORRECT,B
va:0092f,HIT,A
va:0093f,UNDERSTAND,N
va:0094f,HEAR_LISTEN,N
va:0096f,THINK,N
va:0097f,TAKE-A-SERVICE_RENT,N
va:0099f,CHOOSE,N
va:0101f,APPROVE_PRAISE,B
va:0103f,RESULT_CONSEQUENCE,B
va:0104f,EXIST-WITH-FEATURE,N
va:0105f,COME-FROM,B
va:0111f,HAPPEN_OCCUR,N
va:0112f,COME-AFTER_FOLLOW-IN-TIME,N
va:0113f,START-FUNCTIONING,B
va:0114f,CONTINUE,N
va:0119f,LEAVE_DEPART_RUN-AWAY,N
va:0121f,COMMUNE,B
va:0122f,TRANSMIT,N
va:0124f,IMAGINE,N
va:0125f,LEAD_GOVERN,B
va:0126f,RESTRAIN,A
va:0128f,PRESERVE,B
va:0129f,GUESS,N
va:0130f,DECREE_DECLARE,N
va:0131f,TAKE-INTO-ACCOUNT_CONSIDER,N
va:0133f,WASTE,A
va:0134f,DESTROY,A
va:0135f,CONSUME_SPEND,N
