pbid,pos
hanker.01,v
jest.01,v
bayonet.01,v
rewrite.01,v
enunciate.01,v
monitor.01,v
swipe.01,v
swipe.02,v
microwave.01,v
follow.01,v
follow.02,v
follow.04,v
follow.05,v
follow_suit.06,m
follow_through.07,v
follow_through.08,n
follow_up.03,v
on.01,j
cramp.01,v
plead.01,v
plead.02,v
pinch.01,v
pinch.02,v
tease.01,v
tease.02,v
tease.03,v
tease_out.04,v
dwarf.01,v
wax.01,v
wax.02,v
wax.03,v
stick.01,v
stick_out.02,v
stick_around.03,v
stick_up.04,v
smoke.01,v
smoke.02,v
smoke.03,v
federalize.01,v
federalize.02,v
luxuriate.01,v
clerk.01,v
preform.01,v
hunger.01,v
park.01,v
cellar.01,v
doll.01,v
doll_up.02,v
barter.01,v
expurgate.01,v
green.01,v
green.02,j
green.03,j
boogie.01,v
thaw.01,v
thaw_out.02,v
parquet.01,v
juggle.01,v
blurt_out.01,v
pressure.01,v
pressure.02,v
thumbtack.01,v
ensue.01,v
macerate.01,v
array.01,v
establish.01,v
pout.01,v
presage.01,v
discompose.01,v
brick.01,v
brick_over.02,v
contemplate.01,v
bid.01,v
bid.02,v
bid.03,v
bid.06,v
poach.01,v
poach.02,v
privatize.01,v
private.02,j
private.03,j
congest.01,v
heft.01,v
gross.01,v
gross.02,v
gross.03,j
gross.04,j
gross.05,j
gross.06,j
equal.01,v
equal.02,j
equalize.03,v
disguise.01,v
raise.01,v
raise.02,v
raise.03,v
fundraise.04,v
waffle.01,v
grieve.01,v
deposit.01,v
deposition.02,n
depose.03,v
abort.01,v
smite.01,v
slope.01,v
indoctrinate.01,v
betray.01,v
graduate.01,v
bulge.01,v
twine.01,v
amass.01,v
conjure_up.01,v
cross.01,v
cross.02,v
cross.04,v
cross.05,v
cross_out.03,v
coopt.01,v
delete.01,v
repulse.01,v
coagulate.01,v
flaw.01,v
commercialize.01,v
raze.01,v
sculpture.01,v
startle.01,v
eddy.01,v
cadge.01,v
yak.01,v
yak.02,v
herald.01,v
hack.01,v
hack.03,v
hack.04,v
hack.05,v
hack_away.02,v
imprint.01,v
slash.01,v
slash.02,v
begin.01,v
mediate.01,v
strut.01,v
cup.01,v
cup.02,v
cup.03,v
coarsen.01,v
amortize.01,v
prune.01,v
rile.01,v
script.01,v
trawl.01,v
wager.01,v
doff.01,v
ransack.01,v
swallow.01,v
swallow_up.02,v
overlap.01,v
souse.01,v
souse.02,v
rescue.01,v
slacken.01,v
summarize.01,v
secede.01,v
iodize.01,v
dominate.01,v
modulate.01,v
reup.01,v
violate.01,v
flap.01,v
blink.01,v
impress.01,v
impress.02,v
impression.03,n
leak.01,v
divorce.01,v
divorce.02,v
peg.01,v
peg.02,v
unseal.01,v
postulate.01,v
enlarge.01,v
glimpse.01,v
mesmerize.01,v
mature.01,v
mature.02,j
maturate.03,v
ink.01,v
ink.02,v
ink.03,v
perjure.01,v
uplift.01,v
whipsaw.01,v
underpin.01,v
separate.01,v
separate.02,j
debug.01,v
fester.01,v
pioneer.01,v
bomb.01,v
bomb.02,v
combat.01,v
wick.01,v
galvanize.01,v
galvanize.02,v
galvanize.03,v
devolve.01,v
devolve.02,v
puke.01,v
puke_up.02,v
elect.01,v
elect.02,v
section.01,v
section.02,v
detain.01,v
crumb.01,v
crumb.02,v
crumb.03,v
deride.01,v
gray.01,v
gray.02,j
redouble.01,v
major.01,v
major.02,j
misspell.01,v
holler.01,v
harshen.01,v
harsh.02,j
redecorate.01,v
dispose.01,v
dispose.02,v
disposal.03,n
undervalue.01,v
shape.01,v
shape_up.02,v
shape_up.03,v
bias.01,v
namedrop.01,v
excel.01,v
excellent.02,j
excellent.03,j
overcast.01,v
embalm.01,v
impugn.01,v
handicap.01,v
bust.01,v
bust.06,n
bust.02,v
bust.05,v
bust_out.03,v
bust_up.04,v
cram.01,v
cram.02,v
fame.01,v
encourage.01,v
encourage.02,v
wheedle.01,v
signify.01,v
significant.02,j
ream.01,v
ream.02,v
surf.01,v
lock.01,v
lock_in.02,v
lock_up.03,v
lock_up.04,v
lock_out.05,v
