doc_id,sentence_id,amr_string
0,0_0,"# ::tok President , Honourable Members , It is a great privilege to deliver the first State of the Union address before this House .
# ::alignments p~0 h~0 p3~0 s~1 h3~2 p2~3 h2~3 m~3 a2~4 g2~8 p4~9 d~11 o~13 0~13 s2~14 c~17 n~17 2~17 a~18 t~20 g~21 n2~21 1~21
(s / say-01
    :ARG1 (p4 / privilege-01
        :ARG1 (d / deliver-01
            :ARG1 (a / address-03
                :ARG1 (s2 / state
                    :mod (c / country
                        :name (n / name
                            :op1 ""Union"")))
                :ord (o / ordinal-entity
                    :value 1))
            :ARG2 (g / government-organization
                :name (n2 / name
                    :op1 ""House"")
                :mod (t / this)))
        :mod (g2 / great))
    :ARG2 (a2 / and
        :op1 (p / person
            :ARG0-of (h / have-org-role-91
                :ARG2 (p3 / president)))
        :op2 (p2 / person
            :ARG0-of (h2 / have-org-role-91
                :ARG2 (m / member
                    :mod (h3 / honorable))))))
"
0,0_1,"# ::tok From now on the State of the Union address will be the occasion when we will chart our work for the next 12 months .
# ::alignments f~0 n2~1 g~4 n~4 1~4 3~5 4~6 2~7 a~8 o~12 w~14 c~16 w2~18 a2~21 n3~21 0~22 t~23 m~23
(o / occasion-02
    :ARG0 (a / address-03
        :ARG1 (g / government-organization
            :name (n / name
                :op1 ""State""
                :op2 ""of""
                :op3 ""the""
                :op4 ""Union"")))
    :ARG1 (c / chart-01
        :ARG0 (w / we)
        :ARG1 (w2 / work-01
            :ARG0 w)
        :time (a2 / after
            :duration (t / temporal-quantity
                :quant 12
                :unit (m / month))
            :op1 (n3 / now)))
    :time (f / from
        :op1 (n2 / now)))
"
0,0_2,"# ::tok Many of the decisions we will take this year will have long - term implications .
# ::alignments m~0 t~1 i2~1 t2~3 d~3 w~4 t3~7 y~8 l~11 i~14
(i / imply-01
    :ARG0 (t / thing
        :quant (m / many)
        :ARG1-of (i2 / include-91
            :ARG2 (t2 / thing
                :ARG1-of (d / decide-01
                    :ARG0 (w / we)
                    :time (y / year
                        :mod (t3 / this))))))
    :ARG1-of (l / long-03))
"
0,0_3,"# ::tok They will define the kind of Europe we want .
# ::alignments t~0 d~2 k~4 c~6 n~6 0~6 w2~7 w~8
(d / define-01
    :ARG0 (t / they)
    :ARG1 (k / kind
        :mod (c / continent
            :name (n / name
                :op1 ""Europe"")
            :ARG1-of (w / want-01
                :ARG0 (w2 / we)))))
"
0,0_4,"# ::tok They will define a Europe of opportunity where those that aspire are elevated and those in need are not neglected .
# ::alignments t~0 d~2 c~4 n~4 1~4 o~6 p~8 a2~10 e~12 a~13 p2~14 n2~16 0~18 n3~19
(d / define-01
    :ARG0 (t / they)
    :ARG1 (c / continent
        :name (n / name
            :op1 ""Europe"")
        :location-of (o / opportunity)
        :location-of (a / and
            :op1 (e / elevate-01
                :ARG1 (p / person
                    :ARG0-of (a2 / aspire-01)))
            :op2 (n3 / neglect-01
                :ARG1 (p2 / person
                    :ARG0-of (n2 / need-01))
                :polarity -))))
"
0,0_5,"# ::tok A Europe that is open to the world and open to its people .
# ::alignments c~1 n~1 0~1 o~4 w~7 o2~9 p~12
(c / continent
    :name (n / name
        :op1 ""Europe"")
    :ARG1-of (o / open-05
        :ARG2 (w / world))
    :ARG1-of (o2 / open-05
        :ARG2 (p / person
            :poss c)))
"
0,0_6,"# ::tok A Europe that delivers economic , social and territorial cohesion .
# ::alignments c2~1 n~1 0~1 d~3 e~4 s~6 a~7 t~8 c~9
(c2 / continent
    :name (n / name
        :op1 ""Europe"")
    :ARG0-of (d / deliver-01
        :ARG1 (c / cohesion
            :mod (a / and
                :op1 (e / economy)
                :op2 (s / society)
                :op3 (t / territory)))))
"
0,0_7,"# ::tok Over the last year , the economic and financial crisis has put our Union before one of its greatest challenge ever .
# ::alignments b~2 n2~2 t~3 0~3 y~3 e~6 f~8 c2~9 p~11 w~12 o~13 n~13 1~13 b2~14 t2~15 i~15 g~18 m~18 t3~19 c~19 e2~20
(p / put-01
    :ARG0 (c2 / crisis
        :mod (f / finance)
        :mod (e / economy))
    :ARG1 (o / organization
        :name (n / name
            :op1 ""Union"")
        :poss (w / we))
    :ARG2 (b2 / before
        :op1 (t2 / thing
            :ARG1-of (i / include-91
                :ARG2 (t3 / thing
                    :ARG2-of (c / challenge-01
                        :ARG1 o
                        :time (e2 / ever))
                    :mod (g / great
                        :degree (m / most))))))
    :time (b / before
        :duration (t / temporal-quantity
            :quant 1
            :unit (y / year))
        :op1 (n2 / now)))
"
0,0_8,"# ::tok Our interdependence was highlighted and our solidarity was tested like never before .
# ::alignments w~0 i~1 h~3 a~4 s~6 t~8 r~9 e~10 0~10
(a / and
    :op1 (h / highlight-01
        :ARG1 (i / interdependence
            :poss (w / we)))
    :op2 (t / test-01
        :ARG1 (s / solidarity
            :poss w)
        :ARG1-of (r / resemble-01
            :ARG2 (e / ever
                :polarity -))))
"
0,0_9,"# ::tok As I look back at how we have reacted , I believe that we have withstood the test .
# ::alignments l~2 b~3 t2~5 r~8 i~10 b2~11 w~13 w2~15 t~17
(b2 / believe-01
    :ARG0 (i / i)
    :ARG1 (w2 / withstand-01
        :ARG0 (w / we)
        :ARG1 (t / test-01))
    :time (l / look-01
        :ARG0 i
        :ARG1 (t2 / thing
            :manner-of (r / react-01
                :ARG0 w))
        :direction (b / back)))
"
